HEADER,"GEMAS, agricultural soil, 0-20 cm, air dried, <2 mm",,,,,,,,,,
COMMENT DATASET,"field duplicates included, analytical duplicates and standards removed, ATTENTION: original instrument readings, including values below detection",,,,,,,,,,
SAMPLE IDENTIFIER,ID,,,,,,,,,,
COORDINATES,,,,,XCOO,YCOO,,,,,
COMMENT VARIABLES,,,,,,,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g
EXTRACTION,,,,,,,aqua regia,aqua regia,aqua regia,aqua regia,aqua regia
METHOD,,,,,,,"ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15","ICP-MS, ACME 1F-15"
LDL,,,,,,,50,1,0.01,0.01,0.001
UNIT,,,,,,,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
,ID,COUNTRY,C_ID,TYPE,XCOO,YCOO,Mg,Mn,Mo,Pb,Pd
,3058,SPA,152,Ap,-1.7703,39.0311,7348.573608,103.8693078,0.111507852,7.138577776,0.001868145
,3059,HEL,13,Ap,23.6397,40.4833,7906.771851,1437.237854,0.848708476,51.93081062,0.002428923
,3061,PTG,33,Ap,-8.2833,37.0667,175.5674636,19.94956997,0.374883944,5.043058779,0.001984072
,3062,SWE,65,Ap,14.7027,63.8058,1977.478659,483.2096854,1.309363242,11.2741574,0.003320903
,3063,FRA,165,Ap,6.0717,44.6169,3589.729281,1861.114655,0.598743164,27.84748111,0.005253416
,3065,FRA,47,Ap,2.9318,48.5488,1075.888014,684.4746143,0.34156816,17.52070642,0.0005
,3066,POL,27,Ap,17.2423,53.5078,550.7009944,251.0088818,0.117503022,8.407866095,0.004384691
,3067,SKA,3,Ap,20.2525,49.0413,9042.65564,2525.557404,1.450964889,23.52630415,0.002453328
,3068,FRA,62,Ap,5.0386,48.2047,2938.207142,727.3447021,0.980935873,33.05115377,0.01037087
,3069,FRA,24,Ap,5.608,49.1232,2464.425143,632.6952157,0.347572368,18.94729236,0.003090866
,3070,PTG,33,ApD,-8.2833,37.0667,182.645093,20.61725131,0.395527415,5.067399974,0.0005
,3071,GER,71,Ap,8.6667,51.3333,10544.20532,1136.397476,0.551682402,45.46552504,0.0005
,3072,GER,118,Ap,12.8333,49.0833,4384.871472,694.8658453,0.336719009,22.31759255,0.0005
,3073,SKA,1,Ap,19.4859,49.498,6745.352783,972.367358,0.381615435,22.43582402,0.003403392
,3074,NOR,62,Ap,14.3203,66.3486,766.2714789,84.87416945,0.188739798,5.583967616,0.003050346
,3075,SWE,159,Ap,16.0082,56.7413,471.3715103,62.61938148,0.271302572,9.523280372,0.0005
,3076,BUL,14,Ap,25.2547,43.426,6892.1875,596.7419723,0.323150284,15.11613906,0.0005
,3077,UNK,138,Ap,-4.4219,52.1569,3419.204699,1238.172302,0.778954942,24.03573395,0.007806248
,3078,FRA,10,Ap,0.6616,49.719,1360.9502,810.5658307,0.426824399,15.42076558,0.003094831
,3079,UNK,27,Ap,-2.7303,56.5364,6431.484375,407.8930741,0.440634477,27.28422741,0.0005
,3081,SWE,77,Ap,20.1143,65.0955,509.6382956,360.3950091,2.371268383,7.656777662,0.0005
,3082,SPA,34,Ap,-4.8847,42.255,2155.737856,484.9574644,0.402605927,13.67417476,0.0005
,3083,FRA,199,Ap,2.3372,43.5201,1984.157421,233.0853841,0.302191408,30.00682653,0.001075487
,3084,HEL,71,Ap,26.0875,38.35,24508.2666,768.8599602,0.111797404,13.24460605,0.001404023
,3085,NOR,106,Ap,9.3236,59.2689,2974.220186,323.3874594,1.166031234,17.39602017,0.002583925
,3086,FIN,88,Ap,31.25,62.9167,3172.325729,109.6353979,0.363602313,18.4728574,0.0005
,3087,FRA,76,Ap,5.7053,47.7772,1130.766059,1039.680786,0.850881067,19.93452225,0.0005
,3088,FIN,71,Ap,24.6,63.3167,2823.411848,162.5323399,1.405985563,5.396437817,0.001369545
,3089,SPA,16,Ap,-3.8611,43.3167,1889.828464,578.5468946,0.861784305,28.48923247,0.00191387
,3090,SRB,2,Ap,20.6897,43.96,8021.47583,850.3533996,0.295989255,27.60880144,0.008677375
,3092,UKR,59,Ap,25.5614,50.9446,574.7870862,274.358219,0.096221093,7.543029131,0.0005
,3093,BEL,10,Ap,5.4056,50.8528,1270.337531,302.0079804,0.441541558,27.15901915,0.002987156
,3094,FIN,149,Ap,29.2333,67.2,1154.115087,50.15353827,0.105702794,2.746381878,0.002027589
,3095,CRO,29,ApD,18.34,42.5561,10391.89087,2335.238495,0.427744729,22.72814841,0.0032962
,3096,CRO,29,Ap,18.34,42.5561,10161.89087,2466.154938,0.39059222,23.01936079,0.003836156
,3097,SPA,83,Ap,-0.385,41.4644,47363.12012,300.3235958,0.457744651,13.27639933,0.0005
,3098,LIT,19,Ap,23.2114,55.6383,3146.983209,404.9023025,0.341103362,9.469841753,0.0005
,3101,SWE,30,ApD,13.0781,59.3839,3107.07551,545.8344815,0.490315273,15.58702576,0.004942263
,3103,SWE,163,Ap,14.7347,57.7371,824.6155038,357.974021,0.907566454,13.79327441,0.0005
,3104,UNK,105,Ap,-6.7969,54.4196,1393.899817,274.2891179,0.655125686,12.59025604,0.0005
,3105,POL,82,Ap,19.0868,51.5639,363.0213571,155.4903725,0.157408324,11.88570882,0.001874035
,3106,GER,18,Ap,9.5833,53.3333,170.5656166,172.9470941,0.296437074,12.74081146,0.001963925
,3107,SWE,161,Ap,16.2495,57.5815,1754.055695,432.3987112,0.535776626,13.21131668,0.0005
,3108,ITA,78,Ap,11.4116,44.7458,7097.700195,825.4077155,0.590912587,14.18926385,0.001000362
,3109,ITA,51,Ap,13.5969,42.0519,12095.03296,722.7612004,1.457749923,24.16348545,0.0005
,3110,NOR,49,Ap,6.8194,59.8333,5887.124023,379.9380904,0.762048592,26.13763192,0.00173238
,3111,LIT,14,Ap,22.9758,54.8842,1135.070285,168.2956753,0.137845532,9.761201543,0.0005
,3112,SPA,4,Ap,-7.6253,43.1808,7559.801025,394.3567642,0.656277887,11.32731856,0.002812791
,3113,GER,70,Ap,7.8333,51.3333,1602.198562,1097.596817,0.639974528,39.03391353,0.0005
,3114,CRO,1,Ap,18.6817,45.6469,12053.67676,449.2697732,0.320613902,20.24769477,0.0005
,3115,SWE,30,Ap,13.0781,59.3839,3173.271492,538.7405054,0.458867897,16.12930132,0.001435815
,3116,FRA,26,Ap,4.2256,49.0689,1169.992793,431.4382687,0.178483642,10.66975458,0.006219027
,3117,POL,5,Ap,18.1512,54.308,886.1565649,174.7123913,0.263489759,11.64064295,0.0005
