HEADER,"GEMAS, agricultural soil, 0-20 cm, air dried, <2 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT DATASET,"field duplicates included, analytical duplicates and standards removed, ATTENTION: original instrument readings, including values below detection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE IDENTIFIER,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COORDINATES,,,,,XCOO,YCOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT VARIABLES,,,,,,,,,incomplete,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,inweight 15 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3006,PTG,22,Ap,-8.9333,38.9333,2688121.816297,1965079.568193,3,0.0763225,24941.09863,13.80983943,0.001636975,10.72741786,71.22433633,2.183078189,0.702630157,5813.421021,0.163569477,45.78662598,12.85197038,34.20253163,5.948515579,21.26114707,32914.83154,7.914308428,0.055957695,0.172200649,0.031184708,0.043436829,6287.480872,25.45838221,56.18251204,9046.2146,623.9390289,0.347827296,471.6970578,1.31452907,25.12447296,725.1181347,25.16701368,0.002307172,0.001736852,66.21690092,0.00025,400.032692,0.403620287,4.705943076,0.355618802,2.700652894,44.11356062,0.0025,0.01,8.719504788,237.7385166,0.40854052,2.107551577,37.18982568,0.158102745,11.76389742,99.45121182,6.661573585,3.5,7.17,32.3,0.042,1.96,53.34,249332,0.778,4664,19.2,101616,6.38,44624,0.097,751,2.23,13448,0.979,6997,0.68,5045,3.454,28673,0.224,978,0.05,200,0.005,50,0.025,250,12.33,99.76,17,477,1.5,74,16,83,17,18,27,9,33,1,18,38,32,177,2.5,17,7,98,2.5,16,5,108,2.5,36,129,161
,3007,GER,44,Ap,14.3333,52.5833,4614526.978292,3283654.634354,8,0.064678815,7130.931396,4.240604197,0.00246661,3.502025599,194.3262399,0.765202818,0.213084325,6372.44812,0.250608163,30.84477258,4.998954886,15.24095199,0.617639903,19.60425491,14872.58423,2.140881787,0.01,0.115817061,0.056984837,0.022385175,2742.668558,16.99740701,9.3662634,1714.471854,355.9663726,0.220914159,52.97120386,0.489361045,12.91713276,1530.193685,14.75631865,0.001993063,0.0005,9.467409876,0.00025,414.5888519,0.1995653,2.842779711,0.481118027,0.734469152,43.71069817,0.0025,0.01,4.559058376,29.48167205,0.082687359,1.382085123,16.39779564,0.055944875,12.99428531,54.87430564,4.306508865,2.4,6.95,27.2,0.04,2.55,74.26,347120,0.424,2542,8.26,43716,3.43,23991,0.052,403,0.63,3799,1.027,7340,0.49,3635,1.713,14220,0.352,1536,0.07,280,0.002,20,0.025,250,9.07,99.8,5,413,1.5,43,9,54,5,16,10,7,20,1,9,19,19,59,2.5,9,2,83,2.5,11,4,59,2.5,28,74,187
,3008,LIT,11,Ap,25.0006,56.1044,5247170.697389,3763927.452641,69,0.029744912,5837.13562,1.950324486,0.000724735,3.274390161,31.25481474,0.361687294,0.098506796,6729.701538,0.091112991,28.07195326,4.257577812,10.38369576,0.594414551,7.573189728,9101.73584,2.072415221,0.031512116,0.01920268,0.013532627,0.01383076,1160.600344,15.29758326,8.026959967,4032.952275,307.4806538,0.286431257,28.54661235,0.383738665,8.148505884,376.9680994,9.061870527,0.001115071,0.0005,14.01449755,0.00025,101.9765282,0.091776879,1.440067812,0.025,0.441312418,12.69719012,0.0025,0.01,2.592846465,124.7207393,0.101567553,0.500592494,12.59377122,0.056128014,5.905525929,26.57124141,0.934242152,0.9,7.13,11.1,0.005,1.07,79.33,370819,0.375,2248,7.32,38741,2.13,14898,0.061,472,0.97,5849,1.528,10921,0.7,5193,2.564,21285,0.113,493,0.04,160,0.004,40,0.025,250,4.65,99.79,1.5,374,1.5,50,4,29,6,6,8,12,26,1,8,11,19,67,2.5,7,2,82,2.5,2.5,1.5,36,2.5,23,36,288
,3009,POL,11,Ap,22.0199,54.0378,5104456.410021,3502048.958535,141,0.016457295,6038.222656,2.391567547,0.000315745,3.039007885,33.82629782,0.288683551,0.090306499,2313.718069,0.130845961,19.90971528,3.436225142,11.08644596,0.455820965,4.82549449,8883.658447,2.014673051,0.01,0.042906357,0.015469249,0.006195583,958.1581056,10.52348725,6.392420918,1517.396695,203.1936354,0.233787111,21.9624618,0.436125808,6.162552598,399.1346584,9.972212192,0.001462377,0.0005,8.800111078,0.00025,166.4342499,0.094788046,1.209517065,0.106847778,0.436318693,8.099649257,0.0025,0.01,2.302685745,82.13267509,0.070740492,0.527473758,12.95359193,0.054061639,3.884511691,26.79364537,1.34739735,1.4,6.57,14.1,0.013,1.51,82.43,385310,0.362,2170,6.31,33396,1.97,13779,0.041,318,0.51,3075,0.664,4746,0.64,4748,1.965,16312,0.126,550,0.005,20,0.003,30,0.025,250,4.8,99.8,3,339,1.5,33,6,35,5,2.5,6,2.5,10,1,8,8,16,59,2.5,5,2,63,2.5,2.5,1.5,31,2.5,19,39,267
,3011,SWE,167,Ap,16.6682,58.645,4708232.104857,3967456.015136,49.4,0.024930158,7510.551758,0.889973657,0.000406723,1.125065132,39.37004973,0.377769286,0.114633897,1916.993217,0.130329181,32.93456245,1.761551738,14.20472502,1.209003834,3.653041813,5614.695435,3.378137471,0.03902357,0.005,0.035440953,0.018815992,980.7543877,19.88313581,6.814274049,1527.781724,130.0830119,0.235718245,38.68239959,1.003894525,4.42102316,373.917847,8.769283541,0.0005,0.0005,9.2070575,0.00025,302.6117706,0.067011142,1.303499953,0.188306778,0.872205569,8.613243643,0.0025,0.01,2.038034371,178.9518222,0.116835227,2.299258345,33.10427799,0.070683276,5.648349407,13.70078468,0.626153196,3.7,5.25,12.6,0.028,3.61,72.44,338613,0.326,1954,10.12,53560,1.38,9652,0.032,248,0.55,3317,1.044,7461,2.1,15579,2.319,19251,0.15,655,0.005,20,0.003,30,0.025,250,9.34,99.79,1.5,424,1.5,42,4,27,5,2.5,13,2.5,28,1,10,6,19,74,2.5,6,2,97,2.5,12,1.5,61,2.5,27,22,229
,3012,DEN,6,Ap,8.7833,55.85,4244750.647790,3639066.863719,22,0.011071348,1331.548217,2.068127026,0.000232133,0.705101303,9.951197969,0.131927671,0.043980962,799.6789678,0.163026918,5.107246545,0.715528267,2.546744197,0.133768109,11.66723886,2554.800415,0.879666794,0.01,0.005,0.017432535,0.005955631,165.7998443,3.171980036,0.50749073,142.0073271,67.42431982,0.105248444,10.14466072,0.120443433,1.56499653,386.4687206,7.403079086,0.0005,0.0005,1.632992127,0.00025,133.8090515,0.092516187,0.272269818,0.213804385,0.223237974,6.061357403,0.0025,0.01,0.166948672,39.08480254,0.023574185,0.388611723,4.659101264,0.017511494,1.80146212,14.85311188,0.126068266,1.6,5.11,7.1,0.014,1.63,93.44,436775,0.214,1283,1.51,7992,0.56,3917,0.015,116,0.05,302,0.167,1194,0.22,1632,0.484,4018,0.087,380,0.005,20,0.012,120,0.025,250,3.2,99.87,1.5,112,1.5,21,1.5,12,1.5,6,1,6,10,1,6,1.5,6,14,2.5,1,2,25,2.5,2.5,1.5,11,2.5,9,16,244
,3013,ITA,11,Ap,12.8239,37.7925,4571517.804600,1639564.686114,,0.051635312,18723.22876,6.880076825,0.001669678,4.670380067,133.1117021,1.094032562,0.180679632,7599.468994,0.164119324,32.78349914,15.11295458,33.54135884,1.288914954,17.12453308,25826.59912,5.81708466,0.02765388,0.180408502,0.014525099,0.02577736,2818.318659,14.02837463,15.92991475,3474.814644,561.1494624,0.479336216,144.3514166,0.191900462,22.3893998,356.0190651,16.63862165,0.0005,0.0005,23.40851119,0.00025,160.3523445,0.210978498,4.65780599,0.248492458,0.977519029,45.37437332,0.0025,0.01,5.160955839,11.67484755,0.149728231,0.731731219,47.83498275,0.021387745,9.518151231,45.74495229,5.938189639,1.5,7.15,36.8,0.017,1.6,65.98,308416,0.782,4688,12.32,65204,5.17,36161,0.084,651,1.03,6211,1.198,8562,0.31,2300,1.259,10452,0.119,519,0.05,200,0.004,40,0.025,250,11.43,99.75,11,302,1.5,72,17,90,6,13,16,11,31,1,18,30,24,62,2.5,11,2,100,2.5,11,1.5,109,2.5,32,64,381
,3014,SKA,20,ApD,19.608,48.5684,5028004.747542,2874324.992869,775,0.025988847,12771.56494,2.800474043,0.001011084,0.666280551,57.36885492,0.50747869,0.118671294,1023.576738,0.155005379,43.23518533,5.101992966,8.329078247,1.125184863,4.41378609,13233.62915,3.830987964,0.01,0.005,0.054177156,0.015504446,2246.812573,16.40504017,11.13453084,3118.599385,471.7342321,0.255504349,23.29856891,0.563929007,5.536445892,593.0243466,20.25407239,0.0005,0.0005,23.50415494,0.00025,185.6805992,0.863410809,1.122687122,0.206528154,0.596942569,13.68785412,0.0025,0.01,5.540305075,451.7721841,0.18738679,1.478450971,18.2893477,0.021898154,2.411320748,52.4913994,0.274608209,1.8,4.98,10,0.019,1.94,66.68,311688,0.657,3939,14.8,78329,3.4,23781,0.079,612,1.02,6151,0.682,4874,1.94,14392,2.629,21825,0.186,812,0.005,20,0.003,30,0.025,250,7.64,99.73,4,874,1.5,77,4,23,5,2.5,20,7,29,1,11,7,23,78,2.5,7,2,271,2.5,12,1.5,64,2.5,12,63,261
,3015,FRA,99,Ap,-0.809,46.8801,3499667.268016,2700732.542742,134,0.054163748,20561.75293,10.03084541,0.001505598,0.606999502,89.19681059,1.147185344,0.283603463,979.9106436,0.119010609,40.78072647,15.2846765,33.50160805,4.009553069,15.32672599,26689.32129,6.738095501,0.051988681,0.060206717,0.030644179,0.026882372,1036.99578,19.92315496,25.23460097,3630.359785,469.2572545,0.399920668,71.75574846,0.697767456,18.40263687,452.2230261,19.15512421,0.0005,0.0005,22.28098253,0.00025,346.4232254,0.366480787,3.301585137,0.520101462,0.998268867,8.541724819,0.0025,0.01,4.520686246,70.53976178,0.255087147,4.181462498,46.81805277,0.039659011,7.997140297,60.89477257,1.954460351,2.4,4.31,12.3,0.041,2.65,61.83,289018,0.902,5408,15.94,84363,4.94,34552,0.08,620,0.98,5910,0.357,2551,0.95,7048,2.351,19517,0.14,611,0.01,40,0.005,50,0.025,250,11.28,99.75,13,597,1.5,62,21,77,11,16,19,8,21,1,16,25,24,100,2.5,16,2,75,2.5,11,6,113,2.5,31,88,293
,3016,FIN,73,Ap,26.6667,63.1333,5156476.589809,4547702.162538,108,0.050813457,18046.72852,2.623503765,0.001339561,1.372095323,153.1855202,0.838448085,0.152617269,5339.73999,0.214827606,62.39211007,15.50380594,53.74065787,2.232092889,35.8212143,32514.18213,7.371387214,0.126158499,0.355481457,0.014357454,0.022150904,4052.453582,37.60643732,24.39070578,9890.652466,379.2859285,0.865470541,357.9913231,2.797693748,30.64256126,689.9217116,10.05324185,0.003816625,0.002068132,40.78113564,0.00025,248.5568047,0.155929427,6.208086541,0.29568995,1.210246734,31.6314854,0.0025,0.01,8.959071401,1642.967931,0.284625964,3.695713576,61.59881628,0.139196588,14.77345483,75.06223133,16.09089007,2.6,5.01,15.2,0.019,2.49,58.83,274994,0.769,4610,14.27,75524,6.44,45043,0.079,612,2.6,15679,2.233,15959,2.59,19214,2.891,24000,0.187,816,0.005,20,0.001,10,0.07,700,8.77,99.74,1.5,741,1.5,84,19,93,5,27,21,10,34,1,16,42,19,104,2.5,14,2,207,2.5,12,5,101,2.5,33,90,191
